"mem_name","mem_clust"
"Kill Bill: Vol. 1",1
"Kill Bill: Vol. 2",1
"Stalker",1
"Andrei Rublev",1
"Cape Fear",1
"The Message",1
"Malcolm X",1
"American Gangster",1
"Inside Man",1
"Reservoir Dogs",1
"The Right Stuff",1
"Gladiator",1
"Man on Fire",1
"Pulp Fiction",1
"Boyz n the Hood",1
"Crash",1
"Hidden Figures",1
"Ben-Hur",1
"Drishyam",1
"Zerkalo",1
"Haider",1
"American Psycho",1
"Training Day",1
"12 Years a Slave",1
"Gravity",1
"Sholay",1
"Philadelphia",1
"I Am Sam",1
"The Hateful Eight",1
"JFK",1
"The Ten Commandments",1
"Avengers: Endgame",2
"Avengers: Infinity War",2
"Guardians of the Galaxy",2
"Guardians of the Galaxy Vol. 2",2
"Captain America: Civil War",2
"Captain America: The Winter Soldier",2
"The Avengers",2
"Star Trek",2
"Star Trek Into Darkness",2
"The Wild Bunch",2
"Spider-Man: Into the Spider-Verse",2
"Thor: Ragnarok",2
"The Lego Movie",2
"Iron Man",2
"Big Hero 6",2
"Star Trek II: The Wrath of Khan",2
"The Bourne Ultimatum",3
"The Bourne Supremacy",3
"The Bourne Identity",3
"The Departed",3
"Mou gaan dou",3
"To Kill a Mockingbird",3
"Shutter Island",3
"The Wolf of Wall Street",3
"The Green Mile",3
"Lat sau san taam",3
"Catch Me If You Can",3
"Memento",3
"Saving Private Ryan",3
"The French Connection",3
"Gifted",3
"Gully Boy",3
"Bridge of Spies",3
"Dark City",3
"Before Sunset",4
"Before Midnight",4
"Before Sunrise",4
"Trois couleurs: Bleu",4
"Trois couleurs: Blanc",4
"Boyhood",4
"Waking Life",4
"Sunrise: A Song of Two Humans",4
"Ba wang bie ji",4
"Trois couleurs: Rouge",4
"Platoon",4
"Dà hóng denglong gaogao guà",4
"The Godfather: Part II",5
"The Godfather: Part III",5
"The Godfather",5
"Goodfellas",5
"The Irishman",5
"Casino",5
"Raging Bull",5
"Scarface",5
"Carlito's Way",5
"Heat",5
"Apocalypse Now",5
"The Insider",5
"The King of Comedy",5
"Once Upon a Time in America",5
"A Bronx Tale",5
"Sleepers",5
"Serpico",5
"Donnie Brasco",5
"Taxi Driver",5
"Diarios de motocicleta",5
"Y tu mamá también",5
"Les triplettes de Belleville",5
"Roma",5
"Glengarry Glen Ross",5
"The Untouchables",5
"Scent of a Woman",5
"Awakenings",5
"Dog Day Afternoon",5
"Joker",5
"The Day of the Jackal",5
"Hana-bi",5
"Brazil",5
"Raiders of the Lost Ark",6
"Indiana Jones and the Last Crusade",6
"Baahubali 2: The Conclusion",6
"Bãhubali: The Beginning",6
"The Conversation",6
"The Maltese Falcon",6
"The Big Sleep",6
"To Have and Have Not",6
"Key Largo",6
"Road to Perdition",6
"Funny Games",6
"Chinatown",6
"Dead Poets Society",6
"The Treasure of the Sierra Madre",6
"Kick-Ass",6
"Dazed and Confused",6
"Ferris Bueller's Day Off",6
"Rosemary's Baby",6
"Blade Runner",6
"Blade Runner 2049",6
"Prisoners",6
"End of Watch",6
"The African Queen",6
"Dogville",6
"A Few Good Men",6
"Searching",6
"Repulsion",6
"Le locataire",6
"Les choristes",6
"The Breakfast Club",6
"Vikram Vedha",6
"Lage Raho Munna Bhai",7
"Munna Bhai M.B.B.S.",7
"Toy Story 3",7
"Toy Story 2",7
"Toy Story 4",7
"Annie Hall",7
"Manhattan",7
"Kal Ho Naa Ho",7
"Veer-Zaara",7
"PK",7
"Dil Chahta Hai",7
"Hannah and Her Sisters",7
"3 Idiots",7
"Chhichhore",7
"The Purple Rose of Cairo",7
"Dilwale Dulhania Le Jayenge",7
"Finding Nemo",7
"Kai po che!",7
"After Hours",7
"Toy Story",7
"Hachi: A Dog's Tale",7
"Love and Death",7
"Match Point",7
"Crimes and Misdemeanors",7
"Anand",7
"Zindagi Na Milegi Dobara",7
"Zelig",7
"Chak De! India",7
"WALL·E",7
"M.S. Dhoni: The Untold Story",7
"The Girl with the Dragon Tattoo",8
"Män som hatar kvinnor",8
"Madeo",8
"Serbuan maut 2: Berandal",8
"Ang-ma-reul bo-at-da",8
"Enter the Dragon",8
"Ajeossi",8
"Where Eagles Dare",8
"Gisaengchung",8
"Gongdong gyeongbi guyeok JSA",8
"La haine",8
"Bin-jip",8
"L.A. Confidential",8
"Mystic River",8
"Lord of War",8
"Sicario",8
"Serbuan maut",8
"Chugyeokja",8
"Oldeuboi",8
"The Fugitive",8
"Dip huet seung hung",8
"Gattaca",8
"Taegukgi hwinalrimyeo",8
"Eastern Promises",8
"Manbiki kazoku",8
"Kelly's Heroes",8
"Escape from Alcatraz",8
"Ah-ga-ssi",8
