Series_Title,info
The Shawshank Redemption,"['shawshank', 'redempt', 'drama', 'two', 'imprison', 'men', 'bond', 'number', 'year', 'find', 'solac', 'eventu', 'redempt', 'act', 'common', 'decenc', 'frank', 'darabont', 'tim', 'robbin', 'morgan', 'freeman', 'bob', 'gunton', 'william', 'sadler']"
The Godfather,"['godfath', 'crime', 'drama', 'organ', 'crime', 'dynasti', 'age', 'patriarch', 'transfer', 'control', 'clandestin', 'empir', 'reluct', 'son', 'franci', 'ford', 'coppola', 'marlon', 'brando', 'al', 'pacino', 'jame', 'caan', 'dian', 'keaton']"
The Dark Knight,"['dark', 'knight', 'action', 'crime', 'drama', 'menac', 'known', 'joker', 'wreak', 'havoc', 'chao', 'peopl', 'gotham', 'batman', 'must', 'accept', 'one', 'greatest', 'psycholog', 'physic', 'test', 'abil', 'fight', 'injustic', 'christoph', 'nolan', 'christian', 'bale', 'heath', 'ledger', 'aaron', 'eckhart', 'michael', 'cain']"
The Godfather: Part II,"['godfath', 'part', 'ii', 'crime', 'drama', 'earli', 'life', 'career', 'vito', 'corleon', 'new', 'york', 'citi', 'portray', 'son', 'michael', 'expand', 'tighten', 'grip', 'famili', 'crime', 'syndic', 'franci', 'ford', 'coppola', 'al', 'pacino', 'robert', 'de', 'niro', 'robert', 'duval', 'dian', 'keaton']"
12 Angry Men,"['angri', 'men', 'crime', 'drama', 'juri', 'holdout', 'attempt', 'prevent', 'miscarriag', 'justic', 'forc', 'colleagu', 'reconsid', 'evid', 'sidney', 'lumet', 'henri', 'fonda', 'lee', 'cobb', 'martin', 'balsam', 'john', 'fiedler']"
The Lord of the Rings: The Return of the King,"['lord', 'ring', 'return', 'king', 'action', 'adventur', 'drama', 'gandalf', 'aragorn', 'lead', 'world', 'men', 'sauron', 'armi', 'draw', 'gaze', 'frodo', 'sam', 'approach', 'mount', 'doom', 'one', 'ring', 'peter', 'jackson', 'elijah', 'wood', 'viggo', 'mortensen', 'ian', 'mckellen', 'orlando', 'bloom']"
Pulp Fiction,"['pulp', 'fiction', 'crime', 'drama', 'live', 'two', 'mob', 'hitmen', 'boxer', 'gangster', 'wife', 'pair', 'diner', 'bandit', 'intertwin', 'four', 'tale', 'violenc', 'redempt', 'quentin', 'tarantino', 'john', 'travolta', 'uma', 'thurman', 'samuel', 'jackson', 'bruce', 'willi']"
Schindler's List,"['schindler', 'list', 'biographi', 'drama', 'histori', 'poland', 'world', 'war', 'ii', 'industrialist', 'oskar', 'schindler', 'gradual', 'becom', 'concern', 'jewish', 'workforc', 'wit', 'persecut', 'nazi', 'steven', 'spielberg', 'liam', 'neeson', 'ralph', 'fienn', 'ben', 'kingsley', 'carolin', 'goodal']"
Inception,"['incept', 'action', 'adventur', 'thief', 'steal', 'corpor', 'secret', 'use', 'technolog', 'given', 'invers', 'task', 'plant', 'idea', 'mind', 'christoph', 'nolan', 'leonardo', 'dicaprio', 'joseph', 'elliot', 'page', 'ken', 'watanab']"
Fight Club,"['fight', 'club', 'drama', 'insomniac', 'offic', 'worker', 'soapmak', 'form', 'underground', 'fight', 'club', 'evolv', 'someth', 'much', 'much', 'david', 'fincher', 'brad', 'pitt', 'edward', 'norton', 'meat', 'loaf', 'zach', 'grenier']"
The Lord of the Rings: The Fellowship of the Ring,"['lord', 'ring', 'fellowship', 'ring', 'action', 'adventur', 'drama', 'meek', 'hobbit', 'shire', 'eight', 'companion', 'set', 'journey', 'destroy', 'power', 'one', 'ring', 'save', 'dark', 'lord', 'sauron', 'peter', 'jackson', 'elijah', 'wood', 'ian', 'mckellen', 'orlando', 'bloom', 'sean', 'bean']"
Forrest Gump,"['forrest', 'gump', 'drama', 'romanc', 'presid', 'kennedi', 'johnson', 'event', 'vietnam', 'waterg', 'histor', 'event', 'unfold', 'perspect', 'alabama', 'man', 'iq', 'whose', 'desir', 'reunit', 'childhood', 'sweetheart', 'robert', 'zemecki', 'tom', 'hank', 'robin', 'wright', 'gari', 'sinis', 'salli', 'field']"
"Il buono, il brutto, il cattivo","['il', 'buono', 'il', 'brutto', 'il', 'cattivo', 'western', 'bounti', 'hunt', 'scam', 'join', 'two', 'men', 'uneasi', 'allianc', 'third', 'race', 'find', 'fortun', 'gold', 'buri', 'remot', 'cemeteri', 'sergio', 'leon', 'clint', 'eastwood', 'eli', 'wallach', 'lee', 'van', 'cleef', 'aldo', 'giuffrè']"
The Lord of the Rings: The Two Towers,"['lord', 'ring', 'two', 'tower', 'action', 'adventur', 'drama', 'frodo', 'sam', 'edg', 'closer', 'mordor', 'help', 'shifti', 'gollum', 'divid', 'fellowship', 'make', 'stand', 'sauron', 'new', 'alli', 'saruman', 'hord', 'isengard', 'peter', 'jackson', 'elijah', 'wood', 'ian', 'mckellen', 'viggo', 'mortensen', 'orlando', 'bloom']"
The Matrix,"['matrix', 'action', 'beauti', 'stranger', 'lead', 'comput', 'hacker', 'neo', 'forbid', 'underworld', 'discov', 'shock', 'truth', 'life', 'know', 'elabor', 'decept', 'evil', 'lana', 'wachowski', 'lilli', 'wachowski', 'keanu', 'reev', 'laurenc', 'fishburn', 'moss']"
Goodfellas,"['goodfella', 'biographi', 'crime', 'drama', 'stori', 'henri', 'hill', 'life', 'mob', 'cover', 'relationship', 'wife', 'karen', 'hill', 'mob', 'partner', 'jimmi', 'conway', 'tommi', 'devito', 'crime', 'syndic', 'martin', 'scorses', 'robert', 'de', 'niro', 'ray', 'liotta', 'joe', 'pesci', 'lorrain', 'bracco']"
Star Wars: Episode V - The Empire Strikes Back,"['star', 'war', 'episod', 'v', 'empir', 'strike', 'back', 'action', 'adventur', 'fantasi', 'rebel', 'brutal', 'overpow', 'empir', 'ice', 'planet', 'hoth', 'luke', 'skywalk', 'begin', 'jedi', 'train', 'yoda', 'friend', 'pursu', 'darth', 'vader', 'bounti', 'hunter', 'name', 'boba', 'fett', 'galaxi', 'irvin', 'kershner', 'mark', 'hamil', 'harrison', 'ford', 'carri', 'fisher', 'billi', 'dee', 'william']"
One Flew Over the Cuckoo's Nest,"['one', 'flew', 'cuckoo', 'nest', 'drama', 'crimin', 'plead', 'insan', 'admit', 'mental', 'institut', 'rebel', 'oppress', 'nurs', 'ralli', 'scare', 'patient', 'milo', 'forman', 'jack', 'nicholson', 'louis', 'fletcher', 'michael', 'berryman', 'peter', 'brocco']"
