Title,pagerank
(500) Days of Summer,0.008049277604648871
The Irishman,0.007930070126317846
Sabrina,0.007627510879496926
Heat,0.007212286941453162
The Godfather: Part II,0.007004611895095496
In the Heat of the Night,0.006962382381652006
Ang-ma-reul bo-at-da,0.006529690372225551
The Great Escape,0.006359787664269674
Dunkirk,0.005907189847256275
Empire of the Sun,0.005834669103989219
Bin-jip,0.005618094274769462
The Sting,0.005604769857833278
Ajeossi,0.005529038293614839
Manhattan,0.005509321123617359
Jab We Met,0.005506599211366123
Chinatown,0.0052386862733575885
Man on Fire,0.005006712774826273
The Apartment,0.004913210068017066
The Searchers,0.00487467044041275
Moonrise Kingdom,0.004689032655598292
Se7en,0.0046852637906619685
American Gangster,0.004640887540482207
Goodfellas,0.0045245943840894875
Groundhog Day,0.004429594231631736
Donnie Brasco,0.004363812314647709
Cinderella Man,0.004303634038922618
Captain America: Civil War,0.004302363396608049
Rope,0.0042815239187422634
Madeo,0.004264020610450391
Before Sunrise,0.0042429267021648065
Kill Bill: Vol. 1,0.00411875037727759
Rashômon,0.004051492746677086
Gone Baby Gone,0.003995286040726536
Kal Ho Naa Ho,0.00398062598010867
Barton Fink,0.0039723533169766425
The Artist,0.003972347207701861
Salinui chueok,0.003965211773461744
Tenkû no shiro Rapyuta,0.003949473970018621
Finding Neverland,0.0039394984365792324
Key Largo,0.0038669803442298624
Before Midnight,0.003862274576935942
Anatomy of a Murder,0.003833721232227529
Shichinin no samurai,0.0038284979474085858
Cool Hand Luke,0.003818614166365231
Paper Moon,0.0038123428124640034
Hotaru no haka,0.0037920943842881384
Dial M for Murder,0.003756149792389407
Sense and Sensibility,0.003756051367278099
The Man Who Shot Liberty Valance,0.0037468464721006718
Guardians of the Galaxy,0.003736986396628426
Up,0.003730795571300603
Avengers: Infinity War,0.0036920296438034015
Mystic River,0.0036766401957911282
Yôjinbô,0.003660206081766033
Modern Times,0.0036343306807413564
Toy Story 3,0.0036294190325911134
Miller's Crossing,0.003576174307715667
Gake no ue no Ponyo,0.0035551568119842527
Frost/Nixon,0.003551945929531972
Casino,0.0035513882624146715
The Big Sleep,0.0035168536243239453
Serpico,0.0034415985040702926
Patton,0.0034024562714944826
The Thin Man,0.0033741761225989536
Billy Elliot,0.003355658776491812
The Avengers,0.0033365549508482762
Andrei Rublev,0.0032922209944851494
The Pianist,0.003278692325864795
The Godfather: Part III,0.0032755583420575143
Idi i smotri,0.003265820399423363
A Bronx Tale,0.003258455299280242
Toy Story 2,0.0032352068823784464
Lord of War,0.003197251387952124
Stalag 17,0.003145209461444546
Blood Simple,0.003139472819140694
Avengers: Endgame,0.003135390969167078
The Godfather,0.0031320198526075226
The Departed,0.0031239859456865552
Tengoku to jigoku,0.003106344081490746
Smultronstället,0.003099792031085381
Gisaengchung,0.0030905744237928793
The Message,0.0030834308748619436
Stagecoach,0.0030668537585832683
Toy Story 4,0.003056106167524157
Viskningar och rop,0.003045846375984544
The Gold Rush,0.0030390316796339908
Edward Scissorhands,0.003017212954884995
End of Watch,0.0030127824653623635
Sanjuro,0.003012286701193459
The Treasure of the Sierra Madre,0.0030061614805147285
Persona,0.002999487965677579
Dil Chahta Hai,0.0029677125128931875
The Little Mermaid,0.0029408890819525853
Before Sunset,0.0029390851029361224
On the Waterfront,0.0029261610698851043
The Notebook,0.002921093013659455
Aliens,0.0029077964775634916
Midnight Cowboy,0.002904333432020187
Indiana Jones and the Last Crusade,0.00289459880968625
Kumonosu-jô,0.0028886148060668637
Strangers on a Train,0.002886648493153068
The Sound of Music,0.0028757877451767934
Rear Window,0.002870239970154321
Annie Hall,0.002859655262547062
Gladiator,0.002838551266515352
3 Idiots,0.002806815304486909
Kill Bill: Vol. 2,0.0028045014901685946
Hidden Figures,0.002797990508931353
The Big Lebowski,0.0027839860394383437
Waking Life,0.002767710330749529
The Terminator,0.0027531255625314922
The Untouchables,0.0027529964957153544
The Quiet Man,0.0027518111627638235
Munna Bhai M.B.B.S.,0.0027453012460530043
Mou gaan dou,0.0027293838850746
Schindler's List,0.0027186081527562815
The Wolf of Wall Street,0.0027064755767131393
Kaze tachinu,0.002694026754486106
Fantastic Mr. Fox,0.0026932878107553166
Dead Poets Society,0.00267828192527853
Down by Law,0.002675224331301997
The African Queen,0.002662107314240555
Laura,0.002659866696384922
The Red Shoes,0.0026595197519489076
North by Northwest,0.002658094781254661
Wind River,0.002639485620562594
Atonement,0.0026339125034553156
The Bourne Supremacy,0.0026293755976117654
Rushmore,0.0026217146036932176
Taxi Driver,0.002617880060827067
The Green Mile,0.0025752687568353686
The Last Emperor,0.0025726010106384197
Brokeback Mountain,0.0025441513307017534
Toy Story,0.002534037373859358
Hannah and Her Sisters,0.0025306592066801086
The Purple Rose of Cairo,0.002515783661315047
Mary and Max,0.002513961627983802
Dazed and Confused,0.0025087315542409792
The Bourne Identity,0.002495313512121026
Zulu,0.0024910266177767568
Trois couleurs: Blanc,0.0024748764912472755
Once Upon a Time in America,0.0024597234943608396
The Kid,0.002450058781745435
Star Trek,0.0024482304712510473
Song of the Sea,0.002443924108226876
The Philadelphia Story,0.0024380029106940704
Breakfast at Tiffany's,0.002416405360547186
Yeopgijeogin geunyeo,0.0024057176618080666
The 39 Steps,0.0024003144411480323
Aladdin,0.0023993288097673327
The Bourne Ultimatum,0.002393228897023975
Serbuan maut 2: Berandal,0.002392101445389581
Raging Bull,0.002391056990316963
The Insider,0.00238952636119483
Inglourious Basterds,0.0023882526973267996
The Others,0.0023872812232093414
Guess Who's Coming to Dinner,0.0023863694878379126
Reservoir Dogs,0.0023801436202933795
Charade,0.002372971175944202
Catch Me If You Can,0.002370827002403153
Bringing Up Baby,0.0023581095936014464
